PLAYER_NAME,TeamWinning,TeamWins,TeamTotal
Greg Stiemsma,0.604477612,162,268
AJ Price,0.604456825,217,359
Andrei Kirilenko,0.603448276,140,232
Rajon Rondo,0.603146853,345,572
Omer Asik,0.603070175,275,456
Troy Williams,0.602888087,167,277
Rodney McGruder,0.602787456,173,287
Marco Belinelli,0.602564103,329,546
DeAndre Jordan,0.602169982,333,553
Danny Granger,0.601694915,284,472
Marcus Georges-Hunt,0.601694915,142,236
Mike Dunleavy,0.601431981,252,419
Emeka Okafor,0.601286174,187,311
Enes Kanter,0.601202405,300,499
Carmelo Anthony,0.600753296,319,531
Goran Dragic,0.600671141,358,596
Brandon Bass,0.6,228,380
Earl Clark,0.6,252,420
Kelly Olynyk,0.6,201,335
Ray McCallum,0.6,162,270
Thon Maker,0.6,135,225
Vince Carter,0.6,324,540
Al Jefferson,0.599496222,238,397
Kyle Singler,0.599378882,193,322
Eric Gordon,0.599198397,299,499
KJ McDaniels,0.598802395,200,334
Shavlik Randolph,0.597855228,223,373
Mo Williams,0.597619048,251,420
Keith Benson,0.597222222,129,216
Brendan Haywood,0.597173145,169,283
Luis Scola,0.596730245,219,367
Quentin Richardson,0.596412556,133,223
Peja Stojakovic,0.595854922,115,193
Amar'e Stoudemire,0.595108696,219,368
Danilo Gallinari,0.595057034,313,526
Alex Caruso,0.594736842,113,190
Dante Cunningham,0.593692022,320,539
Jarvis Varnado,0.593333333,178,300
Kevin Martin,0.593333333,267,450
Matthew Dellavedova,0.592689295,227,383
Nate Robinson,0.592356688,279,471
Brandan Wright,0.591911765,322,544
Luol Deng,0.591603053,310,524
Rodney Hood,0.591511936,223,377
Isaiah Taylor,0.591489362,139,235
Giannis Antetokounmpo,0.591331269,191,323
Marvin Williams,0.591286307,285,482
Marcus Morris Sr.,0.590909091,260,440
Dirk Nowitzki,0.590809628,270,457
Joffrey Lauvergne,0.59030837,134,227
Joel Przybilla,0.59009009,131,222
P.J. Tucker,0.589805825,243,412
Willie Green,0.58974359,161,273
Rudy Gobert,0.589171975,185,314
Darren Collison,0.589164786,261,443
Evan Turner,0.588469185,296,503
Caron Butler,0.588095238,247,420
Nikola Mirotic,0.587878788,194,330
Allen Crabbe,0.587859425,184,313
Darrell Arthur,0.587301587,259,441
Larry Drew II,0.586805556,169,288
Channing Frye,0.586538462,305,520
Chris Johnson,0.586457074,485,827
Jeremy Lin,0.586206897,289,493
Roy Hibbert,0.586206897,272,464
Joakim Noah,0.585603113,301,514
Reggie Bullock,0.585365854,240,410
Lou Amundson,0.58456486,356,609
Darius Morris,0.58423913,215,368
Hilton Armstrong,0.584097859,191,327
Gary Neal,0.583941606,240,411
Derrick Favors,0.583682008,279,478
Doug McDermott,0.583106267,214,367
Jerryd Bayless,0.582554517,374,642
Lavoy Allen,0.582417582,212,364
Damion James,0.582043344,188,323
JaVale McGee,0.581911263,341,586
Frank Kaminsky,0.581818182,128,220
Dario Saric,0.581497797,132,227
Derrick Brown,0.581497797,132,227
Eric Bledsoe,0.581300813,286,492
